B,I,T,P,O,D,L
Gkidz,Boys & Girls Graphic Print Cotton Blend T Shirt,Pink,₹594,"₹1,199",50% off,https://flipkart.com/kifayati-bazar-boys-girls-graphic-print-cotton-blend-t-shirt/p/itmf4xct5mepkhny?pid=KTBF4X7UY6VHEY4U&lid=LSTKTBF4X7UY6VHEY4UE4T9GZ&marketplace=FLIPKART&srno=b_16_608&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KTBF4X7UY6VHEY4U.SEARCH&ssid=wrlw1s1lj40000001609472577640
CUTIEKINS,Girls Casual Top Capri,"Multicolor, Pack of 4",₹229,₹599,61% off,https://flipkart.com/gkidz-girls-casual-top-capri/p/itm072802d664ed7?pid=KPBFWKXYBYEABHNT&lid=LSTKPBFWKXYBYEABHNTGNEKOQ&marketplace=FLIPKART&srno=b_16_609&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KPBFWKXYBYEABHNT.SEARCH&ssid=wrlw1s1lj40000001609472577640
MIST N FOGG,Girls Party(Festive) Top Trouser,"Black, Sleeveless",₹688,"₹1,299",47% off,https://flipkart.com/cutiekins-girls-party-festive-top-trouser/p/itmac88e9751d5dd?pid=KPBFHGQZSWQNTTY6&lid=LSTKPBFHGQZSWQNTTY676VF7I&marketplace=FLIPKART&srno=b_16_610&otracker=browse&fm=organic&iid=en_cxm5DoQ5ISgtJ7Qn2OnhP6nQDRvPeatHMbIB2iPMOCQn2reMjIqNsPghN3WgasM2N5GxX4SqlGGip2hHAyuhDA%3D%3D&ssid=wrlw1s1lj40000001609472577640
Adbucks,Girls Printed Cotton Jersey T Shirt,"Light Blue, Pack of 1",₹449,₹999,55% off,https://flipkart.com/mist-n-fogg-girls-printed-cotton-jersey-t-shirt/p/itm09bc1a010d6d4?pid=KTBFPVGUJGSHZSES&lid=LSTKTBFPVGUJGSHZSESVFI8HZ&marketplace=FLIPKART&srno=b_16_611&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KTBFPVGUJGSHZSES.SEARCH&ssid=wrlw1s1lj40000001609472577640
SmartRAHO,Full Sleeve Self Design Girls Jacket,Multicolor,₹599,"₹1,499",60% off,https://flipkart.com/adbucks-full-sleeve-self-design-girls-jacket/p/itm6a471b8385de0?pid=JCKFKNMPMRW5FDDX&lid=LSTJCKFKNMPMRW5FDDXROHALU&marketplace=FLIPKART&srno=b_16_612&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.JCKFKNMPMRW5FDDX.SEARCH&ssid=wrlw1s1lj40000001609472577640
CUTIEKINS,Girls Below Knee Casual Dress,Multicolor,₹268,"₹1,199",77% off,https://flipkart.com/smartraho-girls-below-knee-casual-dress/p/itma103e4a0c2e15?pid=KDEFZZDHG67VBX83&lid=LSTKDEFZZDHG67VBX83TDMJCX&marketplace=FLIPKART&srno=b_16_613&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFZZDHG67VBX83.SEARCH&ssid=wrlw1s1lj40000001609472577640
PEACEWAVE,Girls Casual Polyester Fashion Sleeve Top,"Multicolor, Sleeveless",₹415,₹899,53% off,https://flipkart.com/cutiekins-girls-casual-polyester-fashion-sleeve-top/p/itmb628da021abb2?pid=KTOFH7TJRGPECKJZ&lid=LSTKTOFH7TJRGPECKJZEJJLCE&marketplace=FLIPKART&srno=b_16_614&otracker=browse&fm=organic&iid=en_cxm5DoQ5ISgtJ7Qn2OnhP6nQDRvPeatHMbIB2iPMOCTHlFpdR%2B3pMZhLFizWYXukxzhx2C%2BIpmcR2mxgmnZrdA%3D%3D&ssid=wrlw1s1lj40000001609472577640
ULTRA TREND,Baby Boys & Baby Girls Party(Festive) T-shirt Dungaree,"Multicolor, Pack of 10",₹343,₹999,65% off,https://flipkart.com/peacewave-baby-boys-girls-party-festive-t-shirt-dungaree/p/itmb5ab4d78a0a6c?pid=KPBFWYFSPVKEANQP&lid=LSTKPBFWYFSPVKEANQPMEZJLJ&marketplace=FLIPKART&srno=b_16_615&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KPBFWYFSPVKEANQP.SEARCH&ssid=wrlw1s1lj40000001609472577640
ULTRA TREND,Girls Party(Festive) Top Skirt,"Multicolor, Sleeveless",₹333,₹899,62% off,https://flipkart.com/ultra-trend-girls-party-festive-top-skirt/p/itmd97db0518bcaf?pid=KPBFJVDUUVN3WH9E&lid=LSTKPBFJVDUUVN3WH9EQYDKJG&marketplace=FLIPKART&srno=b_16_616&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KPBFJVDUUVN3WH9E.SEARCH&ssid=wrlw1s1lj40000001609472577640
Kifayati Bazar,Girls Midi/Knee Length Party Dress,Black Pack of 1,₹333,₹999,66% off,https://flipkart.com/ultra-trend-girls-midi-knee-length-party-dress/p/itm758f9b2a67b14?pid=KDEFMHHBQ6TNGY7R&lid=LSTKDEFMHHBQ6TNGY7RQQHVUF&marketplace=FLIPKART&srno=b_16_617&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFMHHBQ6TNGY7R.SEARCH&ssid=wrlw1s1lj40000001609472577640
yashvi trends,Short For Boys & Girls Casual Printed Hosiery,"Multicolor, Sleeveless",₹551,"₹1,399",60% off,https://flipkart.com/kifayati-bazar-short-boys-girls-casual-printed-hosiery/p/itmfgkcmqxdyhfrw?pid=KSHFGK9CZD9UGHVG&lid=LSTKSHFGK9CZD9UGHVG7FMWUS&marketplace=FLIPKART&srno=b_16_618&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KSHFGK9CZD9UGHVG.SEARCH&ssid=wrlw1s1lj40000001609472577640
MVD Fashion,Girls Mini/Short Casual Dress,"Beige, Sleeveless",₹249,"₹1,299",80% off,https://flipkart.com/yashvi-trends-girls-mini-short-casual-dress/p/itm3c53f27f7172e?pid=KDEF99YQ6SU3UKPQ&lid=LSTKDEF99YQ6SU3UKPQLYHCTI&marketplace=FLIPKART&srno=b_16_619&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEF99YQ6SU3UKPQ.SEARCH&ssid=wrlw1s1lj40000001609472577640
ultimatefashionista,Girls Festive & Party Top and Skirt Set,Blue,₹553,"₹1,999",72% off,https://flipkart.com/mvd-fashion-girls-festive-party-top-skirt-set/p/itmfb7fj7xymnkze?pid=KETFB6NMPMEMUFHB&lid=LSTKETFB6NMPMEMUFHBRZRXBL&marketplace=FLIPKART&srno=b_16_620&otracker=browse&fm=organic&iid=en_cxm5DoQ5ISgtJ7Qn2OnhP6nQDRvPeatHMbIB2iPMOCSIejhB5vvLbVA8MBAhLCbSN13GNMLuWYmBH2lftYc%2BLw%3D%3D&ssid=wrlw1s1lj40000001609472577640
Chandrika Pearls,Baby Girls Midi/Knee Length Party Dress,"Blue, Pack of 1",₹266,₹799,66% off,https://flipkart.com/ultimatefashionista-baby-girls-midi-knee-length-party-dress/p/itm743e73a7cdba6?pid=KDEFXFBDWMFPWJCN&lid=LSTKDEFXFBDWMFPWJCNPQVNY1&marketplace=FLIPKART&srno=b_16_621&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFXFBDWMFPWJCN.SEARCH&ssid=wrlw1s1lj40000001609472577640
Arshia Fashions,Girls Midi/Knee Length Party Dress,Pink,₹308,"₹1,500",79% off,https://flipkart.com/chandrika-pearls-girls-midi-knee-length-party-dress/p/itmfegnegvcwctfd?pid=KDEFAYQUEXSACDKA&lid=LSTKDEFAYQUEXSACDKAMLFOUU&marketplace=FLIPKART&srno=b_16_622&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFAYQUEXSACDKA.SEARCH&ssid=wrlw1s1lj40000001609472577640
BabyGo,Girls Party(Festive) Top Capri,"Yellow, Full Sleeve",₹999,"₹2,399",58% off,https://flipkart.com/arshia-fashions-girls-party-festive-top-capri/p/itmfce2ptagebbhh?pid=KPBFCEYXCGHEZGBY&lid=LSTKPBFCEYXCGHEZGBYUJQ30N&marketplace=FLIPKART&srno=b_16_623&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KPBFCEYXCGHEZGBY.SEARCH&ssid=wrlw1s1lj40000001609472577640
Shyamcollections,Romper For Baby Girls Casual Embroidered Pure Cotton,"Dark Blue, Sleeveless",₹543,₹799,32% off,https://flipkart.com/babygo-romper-baby-girls-casual-embroidered-pure-cotton/p/itmb16f8bb7fb570?pid=KDRFWFH3TUWGGUX6&lid=LSTKDRFWFH3TUWGGUX6WNFKAQ&marketplace=FLIPKART&srno=b_16_624&otracker=browse&fm=organic&iid=en_cxm5DoQ5ISgtJ7Qn2OnhP6nQDRvPeatHMbIB2iPMOCTWWrMaak1M05J%2F2zr148Esb5ZJQf%2F7N%2FSeJ8jw982L0Q%3D%3D&ssid=wrlw1s1lj40000001609472577640
Chandrika,Baby Girls Casual Top Skirt,"Multicolor, Sleeveless",₹265,₹699,62% off,https://flipkart.com/shyamcollections-baby-girls-casual-top-skirt/p/itm19b4122f298d7?pid=KPBFT49ZZZHZNDHH&lid=LSTKPBFT49ZZZHZNDHHIFWXUP&marketplace=FLIPKART&srno=b_16_625&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KPBFT49ZZZHZNDHH.SEARCH&ssid=wrlw1s1lj40000001609472577640
Chandrika,Girls Maxi/Full Length Party Dress,Semi Stitched,₹268,"₹1,000",73% off,https://flipkart.com/chandrika-girls-maxi-full-length-party-dress/p/itm5781722a7925c?pid=KDEFWBZBYUD3KJXZ&lid=LSTKDEFWBZBYUD3KJXZQQSJWG&marketplace=FLIPKART&srno=b_16_626&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFWBZBYUD3KJXZ.SEARCH&ssid=wrlw1s1lj40000001609472577640
firdaus,Girls Midi/Knee Length Casual Dress,"Grey, Pack of 1",₹290,"₹1,000",71% off,https://flipkart.com/chandrika-girls-midi-knee-length-casual-dress/p/itm04e54d105f439?pid=KDEFH3J7YAVGHJHG&lid=LSTKDEFH3J7YAVGHJHGJMKWAC&marketplace=FLIPKART&srno=b_16_627&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFH3J7YAVGHJHG.SEARCH&ssid=wrlw1s1lj40000001609472577640
Vitrag Fashion,Girls Midi/Knee Length Casual Dress,"Multicolor, Sleeveless",₹426,"₹1,499",71% off,https://flipkart.com/firdaus-girls-midi-knee-length-casual-dress/p/itmcc269da52fa8b?pid=KDEFPMEKF5GHZCRF&lid=LSTKDEFPMEKF5GHZCRFHDK2SW&marketplace=FLIPKART&srno=b_16_628&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFPMEKF5GHZCRF.SEARCH&ssid=wrlw1s1lj40000001609472577640
HAP,Poly Georgette Embroidered Salwar Suit Material,"Multicolor, Sleeveless",₹616,"₹1,500",58% off,https://flipkart.com/vitrag-fashion-poly-georgette-embroidered-salwar-suit-material/p/itmf3vfhfewez5ys?pid=FABF3UCQVG5ESAFM&lid=LSTFABF3UCQVG5ESAFMMH1LMH&marketplace=FLIPKART&srno=b_16_629&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.FABF3UCQVG5ESAFM.SEARCH&ssid=wrlw1s1lj40000001609472577640
purely nature,Top - Pyjama Set For Boys & Girls,"Blue, Pack of 1",₹312,₹959,67% off,https://flipkart.com/hap-top-pyjama-set-boys-girls/p/itmexdf9ddma7hkg?pid=KTEENFCSDY7JKSZ5&lid=LSTKTEENFCSDY7JKSZ5HKSVHX&marketplace=FLIPKART&srno=b_16_630&otracker=browse&fm=organic&iid=en_cxm5DoQ5ISgtJ7Qn2OnhP6nQDRvPeatHMbIB2iPMOCTWXsEjyGRnx6w%2BDfADSQpnADOIWDIoSnf0zo55%2BZBS5A%3D%3D&ssid=wrlw1s1lj40000001609472577640
firdaus,Baby Girls Midi/Knee Length Casual Dress,White,₹199,₹500,60% off,https://flipkart.com/purely-nature-baby-girls-midi-knee-length-casual-dress/p/itm932a55889dcab?pid=KDEFUQ53XGHW2ZAX&lid=LSTKDEFUQ53XGHW2ZAXG4VXCT&marketplace=FLIPKART&srno=b_16_631&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFUQ53XGHW2ZAX.SEARCH&ssid=wrlw1s1lj40000001609472577640
Clothes Shop,Girls Midi/Knee Length Casual Dress,Pink,₹426,"₹1,499",71% off,https://flipkart.com/firdaus-girls-midi-knee-length-casual-dress/p/itm859bf8d13f3fc?pid=KDEFPMEKAV57HKGH&lid=LSTKDEFPMEKAV57HKGHXHHDYT&marketplace=FLIPKART&srno=b_16_632&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFPMEKAV57HKGH.SEARCH&ssid=wrlw1s1lj40000001609472577640
ULTRA TREND,"Girls Lehenga Choli Ethnic Wear Embroidered Ghagra, Cho...","Maroon, Sleeveless",₹494,"₹1,299",61% off,https://flipkart.com/clothes-shop-girls-lehenga-choli-ethnic-wear-embroidered-ghagra-choli-dupatta-set/p/itmc13d3c0f5630b?pid=KLCFVQPAZVQW7FZY&lid=LSTKLCFVQPAZVQW7FZYAAHIIQ&marketplace=FLIPKART&srno=b_16_633&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KLCFVQPAZVQW7FZY.SEARCH&ssid=wrlw1s1lj40000001609472577640
pearlfashionss,Girls Party(Festive) Top Capri,"Green, Pack of 1",₹445,₹999,55% off,https://flipkart.com/ultra-trend-girls-party-festive-top-capri/p/itm5fecb7d4cd332?pid=KPBFMDYDJPNFT8CU&lid=LSTKPBFMDYDJPNFT8CUDCTWKB&marketplace=FLIPKART&srno=b_16_634&otracker=browse&fm=organic&iid=en_cxm5DoQ5ISgtJ7Qn2OnhP6nQDRvPeatHMbIB2iPMOCRc3lZxWqGQj1mhFqpulQjvkw5wDx1l5aGWcMVcfeavQA%3D%3D&ssid=wrlw1s1lj40000001609472577640
Chandrika,Baby Girls Party(Festive) Dress Panty,Black Pack of 1,₹300,₹400,25% off,https://flipkart.com/pearlfashionss-baby-girls-party-festive-dress-panty/p/itm4023b7e06234b?pid=KPBFXDR2ZJQ8B2WH&lid=LSTKPBFXDR2ZJQ8B2WHWBHKCY&marketplace=FLIPKART&srno=b_16_635&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KPBFXDR2ZJQ8B2WH.SEARCH&ssid=wrlw1s1lj40000001609472577640
BRSK TEX,Girls Maxi/Full Length Party Dress,"Blue, Pack of 6",₹290,"₹1,000",71% off,https://flipkart.com/chandrika-girls-maxi-full-length-party-dress/p/itm5db9cad05bd55?pid=KDEFXGWHVSUDTTGG&lid=LSTKDEFXGWHVSUDTTGG81YSVT&marketplace=FLIPKART&srno=b_16_636&otracker=browse&fm=organic&iid=77a5dab3-1b66-4f84-86fc-136a701511af.KDEFXGWHVSUDTTGG.SEARCH&ssid=wrlw1s1lj40000001609472577640
Miss & Chief,Full Sleeve Solid Girls Jacket,"Multicolor, Pack of 6",₹689,"₹2,499",72% off,https://flipkart.com/miss-chief-full-sleeve-solid-girls-jacket/p/itm1c07059474c7e?pid=JCKFRX63SVZUHVGG&lid=LSTJCKFRX63SVZUHVGG5SYGGL&marketplace=FLIPKART&srno=b_17_641&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.JCKFRX63SVZUHVGG.SEARCH&ssid=bbeey8fxkw0000001609472584068
zone,Short For Boys & Girls Casual Printed Cotton Blend,"Multicolor, Pack of 3",₹494,₹999,50% off,https://flipkart.com/zone-short-boys-girls-casual-printed-cotton-blend/p/itm1b7766d91e91c?pid=KSHFWQCDYBZNPXHD&lid=LSTKSHFWQCDYBZNPXHDV9HKAP&marketplace=FLIPKART&srno=b_17_642&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KSHFWQCDYBZNPXHD.SEARCH&ssid=bbeey8fxkw0000001609472584068
Aatu Kutty,Short For Girls Casual Printed Cotton Blend,"Yellow, Pack of 1",₹645,₹999,35% off,https://flipkart.com/aatu-kutty-short-girls-casual-printed-cotton-blend/p/itmfdq56ypjxqggt?pid=KSHF5VN3ZYZMKURJ&lid=LSTKSHF5VN3ZYZMKURJJ9N2VB&marketplace=FLIPKART&srno=b_17_643&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KSHF5VN3ZYZMKURJ.SEARCH&ssid=bbeey8fxkw0000001609472584068
Piludi,Girls Lehenga Choli Fusion Wear Embroidered Ghagra Chol...,"Light Blue, Pack of 1",₹599,"₹1,499",60% off,https://flipkart.com/piludi-girls-lehenga-choli-fusion-wear-embroidered-ghagra/p/itm4782ffa5b85e3?pid=KLCFVQPBRTCQGZWD&lid=LSTKLCFVQPBRTCQGZWDO6O2EY&marketplace=FLIPKART&srno=b_17_644&otracker=browse&fm=organic&iid=en_PCdxTf%2FPViLdF15krj05hLRumBSAoCxFQBo3F2GTy%2FbW5o7t3uY6njFUC1vgxuiIyoXtD92DeNv8sFzjGKXHiA%3D%3D&ssid=bbeey8fxkw0000001609472584068
Piludi,"Girls Lehenga Choli Ethnic Wear Embroidered Lehenga, Ch...","Red, Pack of 1",₹599,"₹1,299",53% off,https://flipkart.com/piludi-girls-lehenga-choli-ethnic-wear-embroidered-lehenga-dupatta-set/p/itm656da579702c8?pid=KLCFPEZ4EZM3PVFH&lid=LSTKLCFPEZ4EZM3PVFHC1DYBW&marketplace=FLIPKART&srno=b_17_645&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KLCFPEZ4EZM3PVFH.SEARCH&ssid=bbeey8fxkw0000001609472584068
oriexfabb,Girls Casual Rayon Top,"Blue, Pack of 1",₹349,₹999,65% off,https://flipkart.com/oriexfabb-girls-casual-rayon-top/p/itmc833845589c05?pid=KTOFYHD2YHC4TV5N&lid=LSTKTOFYHD2YHC4TV5NQT3ZKK&marketplace=FLIPKART&srno=b_17_646&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KTOFYHD2YHC4TV5N.SEARCH&ssid=bbeey8fxkw0000001609472584068
oriex,Dungaree For Girls Striped Polycotton,"Black, Pack of 1",₹664,"₹1,999",66% off,https://flipkart.com/oriex-dungaree-girls-striped-polycotton/p/itm03f129a32c012?pid=KDRFGXAF3EGJ7KYK&lid=LSTKDRFGXAF3EGJ7KYKBEKOVX&marketplace=FLIPKART&srno=b_17_647&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KDRFGXAF3EGJ7KYK.SEARCH&ssid=bbeey8fxkw0000001609472584068
Redwood Signature,Boys & Girls Graphic Print Cotton Blend T Shirt,"Black, Sleeveless",₹379,₹999,62% off,https://flipkart.com/redwood-signature-boys-girls-graphic-print-cotton-blend-t-shirt/p/itm90a5efcf3e69f?pid=KTBFXXGZXNRJQZWS&lid=LSTKTBFXXGZXNRJQZWSRKJM2J&marketplace=FLIPKART&srno=b_17_648&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KTBFXXGZXNRJQZWS.SEARCH&ssid=bbeey8fxkw0000001609472584068
PPX,Girls Midi/Knee Length Casual Dress,Black Pack of 1,₹404,"₹1,299",68% off,https://flipkart.com/ppx-girls-midi-knee-length-casual-dress/p/itm8cda8d712cb7f?pid=KDEFJFFCAMZNVFCG&lid=LSTKDEFJFFCAMZNVFCGONEXHC&marketplace=FLIPKART&srno=b_17_649&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KDEFJFFCAMZNVFCG.SEARCH&ssid=bbeey8fxkw0000001609472584068
MVD Fashion,Girls Festive & Party Top and Skirt Set,Pink,₹553,"₹1,999",72% off,https://flipkart.com/mvd-fashion-girls-festive-party-top-skirt-set/p/itmfb7fj7xymnkze?pid=KETFB6NMPMEMUFHB&lid=LSTKETFB6NMPMEMUFHBRZRXBL&marketplace=FLIPKART&srno=b_17_650&otracker=browse&fm=organic&iid=en_PCdxTf%2FPViLdF15krj05hLRumBSAoCxFQBo3F2GTy%2FbDTye%2FzB9bYHHPYxY2w9qSN13GNMLuWYmBH2lftYc%2BLw%3D%3D&ssid=bbeey8fxkw0000001609472584068
INKURV by INKURV,"Women, Girls Full Coverage Non Padded Bra",White,₹254,₹449,43% off,https://flipkart.com/inkurv-women-girls-full-coverage-non-padded-bra/p/itm998997c0ab624?pid=BRAFMUF3SFUSJ2M2&lid=LSTBRAFMUF3SFUSJ2M27UWKUM&marketplace=FLIPKART&srno=b_17_651&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.BRAFMUF3SFUSJ2M2.SEARCH&ssid=bbeey8fxkw0000001609472584068
ULTRA TREND,Futurekart Fairy Butterfly Wings Costume for Baby Girl ...,Pack of 12,₹249,₹299,16% off,https://flipkart.com/futurekart-fairy-butterfly-wings-costume-baby-girl-angel-birthday-party-3-1-set-kids-wear/p/itmfe7fnuzp2rfbt?pid=KCWFE7ADBFBQGXXP&lid=LSTKCWFE7ADBFBQGXXPL8XO9D&marketplace=FLIPKART&srno=b_17_652&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KCWFE7ADBFBQGXXP.SEARCH&ssid=bbeey8fxkw0000001609472584068
Orange,FESTDECO SANTA CLAUS Kids Costume Wear,"Multicolor, Pack of 2",₹249,₹699,64% off,https://flipkart.com/festdeco-santa-claus-kids-costume-wear/p/itma09ac4b880a0d?pid=KCWFXCSPXTMCSYKH&lid=LSTKCWFXCSPXTMCSYKHHJEBR6&marketplace=FLIPKART&srno=b_17_653&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KCWFXCSPXTMCSYKH.SEARCH&ssid=bbeey8fxkw0000001609472584068
Babeezworld,Girls Party(Festive) Top Capri,"Pink, Half Sleeve",₹445,₹999,55% off,https://flipkart.com/ultra-trend-girls-party-festive-top-capri/p/itm5fecb7d4cd332?pid=KPBFMDYDJPNFT8CU&lid=LSTKPBFMDYDJPNFT8CUDCTWKB&marketplace=FLIPKART&srno=b_17_654&otracker=browse&fm=organic&iid=en_PCdxTf%2FPViLdF15krj05hLRumBSAoCxFQBo3F2GTy%2FZU0md%2FZmN5S41r9sjnEqlqkw5wDx1l5aGWcMVcfeavQA%3D%3D&ssid=bbeey8fxkw0000001609472584068
ANGEL WORLD,Baby Boys & Baby Girls Ankle Length,"Purple, Sleeveless",₹331,"₹1,199",72% off,https://flipkart.com/orange-baby-boys-girls-ankle-length/p/itmaf3b8309da098?pid=SOCFW39QDTZBYXTM&lid=LSTSOCFW39QDTZBYXTMAWCA35&marketplace=FLIPKART&srno=b_17_655&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.SOCFW39QDTZBYXTM.SEARCH&ssid=bbeey8fxkw0000001609472584068
CELEBRITY CLUB,Dungaree For Boys & Girls Casual Printed Pure Cotton,"Orange, 3/4 Sleeve",₹521,"₹1,399",62% off,https://flipkart.com/babeezworld-dungaree-boys-girls-casual-printed-pure-cotton/p/itm76da70625ac4d?pid=KDRFGWGGC6YGYVYY&lid=LSTKDRFGWGGC6YGYVYYH86I9U&marketplace=FLIPKART&srno=b_17_656&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KDRFGWGGC6YGYVYY.SEARCH&ssid=bbeey8fxkw0000001609472584068
KAARIGARI,Minnie Girls Midi/Knee Length Party Dress,"Blue, Pack of 6",₹269,"₹1,299",79% off,https://flipkart.com/angel-world-girls-midi-knee-length-party-dress/p/itmfbnkng7vwkdvq?pid=KDEFBNEMCGCUZXGH&lid=LSTKDEFBNEMCGCUZXGHVIDWTY&marketplace=FLIPKART&srno=b_17_657&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KDEFBNEMCGCUZXGH.SEARCH&ssid=bbeey8fxkw0000001609472584068
x2o,Girls Midi/Knee Length Festive/Wedding Dress,Red,₹359,"₹1,299",72% off,https://flipkart.com/celebrity-club-girls-midi-knee-length-festive-wedding-dress/p/itmf9p6vznb3daxc?pid=KDEF9ZPNYYK6DQ5T&lid=LSTKDEF9ZPNYYK6DQ5TNY77UV&marketplace=FLIPKART&srno=b_17_658&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KDEF9ZPNYYK6DQ5T.SEARCH&ssid=bbeey8fxkw0000001609472584068
NEW GEN,Girls Maxi/Full Length Party Dress,Black,₹321,"₹1,499",78% off,https://flipkart.com/kaarigari-girls-maxi-full-length-party-dress/p/itm1702031c3987a?pid=KDEFHG2YTNMG2HD2&lid=LSTKDEFHG2YTNMG2HD2UVODXB&marketplace=FLIPKART&srno=b_17_659&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KDEFHG2YTNMG2HD2.SEARCH&ssid=bbeey8fxkw0000001609472584068
Yoga Design Lab,Track Pant For Boys & Girls,"Blue, Pack of 1",₹599,"₹1,499",60% off,https://flipkart.com/x2o-track-pant-boys-girls/p/itmfdwfq98e4jrds?pid=KTKFVHZTPJVEMHDS&lid=LSTKTKFVHZTPJVEMHDSTBORU7&marketplace=FLIPKART&srno=b_17_660&otracker=browse&fm=organic&iid=en_PCdxTf%2FPViLdF15krj05hLRumBSAoCxFQBo3F2GTy%2Fac%2BvNwWBlFGewhY63CRg1GrSiSKWPb%2FBaM0utxzFT3OQ%3D%3D&ssid=bbeey8fxkw0000001609472584068
Femisha Creation,Baby Girls Casual Top Skirt,"Blue, Pack of 1",₹239,₹599,60% off,https://flipkart.com/new-gen-baby-girls-casual-top-skirt/p/itm807ed8d8fa7cf?pid=KPBFXEHZFBNHWJHF&lid=LSTKPBFXEHZFBNHWJHFVT6EPJ&marketplace=FLIPKART&srno=b_17_661&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KPBFXEHZFBNHWJHF.SEARCH&ssid=bbeey8fxkw0000001609472584068
jogani brother,"Women, Girls Sports Lightly Padded Bra",Multicolor,₹299,₹999,70% off,https://flipkart.com/yoga-design-lab-women-girls-sports-lightly-padded-bra/p/itmb6e18c3ab7bfc?pid=BRAFJGGFSDBHGTY4&lid=LSTBRAFJGGFSDBHGTY4DM4WUX&marketplace=FLIPKART&srno=b_17_662&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.BRAFJGGFSDBHGTY4.SEARCH&ssid=bbeey8fxkw0000001609472584068
PEACEWAVE,"Girls Lehenga Choli Party Wear Embroidered Lehenga, Cho...","Multicolor, Pack of 5",₹339,"₹1,499",77% off,https://flipkart.com/femisha-creation-girls-lehenga-choli-party-wear-embroidered-lehenga-dupatta-set/p/itm9cae6aaa87a63?pid=KLCFGHC7PJMFAGTS&lid=LSTKLCFGHC7PJMFAGTSD8I48C&marketplace=FLIPKART&srno=b_17_663&otracker=browse&fm=organic&iid=59e924e5-bee7-467b-ac37-b33dbdce05e2.KLCFGHC7PJMFAGTS.SEARCH&ssid=bbeey8fxkw0000001609472584068
